k,jk_size
1,1
2,2
3,2
4,4
5,2
6,4
7,4
8,8
9,2
10,4
11,4
12,8
13,4
14,8
15,8
16,16
17,2
18,4
19,4
20,8
21,4
22,8
23,8
24,16
25,4
26,8
27,8
28,16
29,8
30,16
31,16
32,32
33,2
34,4
35,4
36,8
37,4
38,8
39,8
40,16
41,4
42,8
43,8
44,16
45,8
46,16
47,16
48,32
49,4
50,8
51,8
52,16
53,8
54,16
55,16
56,32
57,8
58,16
59,16
60,32
61,16
62,32
63,32
64,64
65,2
66,4
67,4
68,8
69,4
70,8
71,8
72,16
73,4
74,8
75,8
76,16
77,8
78,16
79,16
80,32
81,4
82,8
83,8
84,16
85,8
86,16
87,16
88,32
89,8
90,16
91,16
92,32
93,16
94,32
95,32
96,64
97,4
98,8
99,8
100,16
101,8
102,16
103,16
104,32
105,8
106,16
107,16
108,32
109,16
110,32
111,32
112,64
113,8
114,16
115,16
116,32
117,16
118,32
119,32
120,64
121,16
122,32
123,32
124,64
125,32
126,64
127,64
128,128
129,2
130,4
131,4
132,8
133,4
134,8
135,8
136,16
137,4
138,8
139,8
140,16
141,8
142,16
143,16
144,32
145,4
146,8
147,8
148,16
149,8
150,16
151,16
152,32
153,8
154,16
155,16
156,32
157,16
158,32
159,32
160,64
161,4
162,8
163,8
164,16
165,8
166,16
167,16
168,32
169,8
170,16
171,16
172,32
173,16
174,32
175,32
176,64
177,8
178,16
179,16
180,32
181,16
182,32
183,32
184,64
185,16
186,32
187,32
188,64
189,32
190,64
191,64
192,128
193,4
194,8
195,8
196,16
197,8
198,16
199,16
200,32
201,8
202,16
203,16
204,32
205,16
206,32
207,32
208,64
209,8
210,16
211,16
212,32
213,16
214,32
215,32
216,64
217,16
218,32
219,32
220,64
221,32
222,64
223,64
224,128
225,8
226,16
227,16
228,32
229,16
230,32
231,32
232,64
233,16
234,32
235,32
236,64
237,32
238,64
239,64
240,128
241,16
242,32
243,32
244,64
245,32
246,64
247,64
248,128
249,32
250,64
251,64
252,128
253,64
254,128
255,128
256,256
257,2
258,4
259,4
260,8
261,4
262,8
263,8
264,16
265,4
266,8
267,8
268,16
269,8
270,16
271,16
272,32
273,4
274,8
275,8
276,16
277,8
278,16
279,16
280,32
281,8
282,16
283,16
284,32
285,16
286,32
287,32
288,64
289,4
290,8
291,8
292,16
293,8
294,16
295,16
296,32
297,8
298,16
299,16
300,32
301,16
302,32
303,32
304,64
305,8
306,16
307,16
308,32
309,16
310,32
311,32
312,64
313,16
314,32
315,32
316,64
317,32
318,64
319,64
320,128
321,4
322,8
323,8
324,16
325,8
326,16
327,16
328,32
329,8
330,16
331,16
332,32
333,16
334,32
335,32
336,64
337,8
338,16
339,16
340,32
341,16
342,32
343,32
344,64
345,16
346,32
347,32
348,64
349,32
350,64
351,64
352,128
353,8
354,16
355,16
356,32
357,16
358,32
359,32
360,64
361,16
362,32
363,32
364,64
365,32
366,64
367,64
368,128
369,16
370,32
371,32
372,64
373,32
374,64
375,64
376,128
377,32
378,64
379,64
380,128
381,64
382,128
383,128
384,256
385,4
386,8
387,8
388,16
389,8
390,16
391,16
392,32
393,8
394,16
395,16
396,32
397,16
398,32
399,32
400,64
401,8
402,16
403,16
404,32
405,16
406,32
407,32
408,64
409,16
410,32
411,32
412,64
413,32
414,64
415,64
416,128
417,8
418,16
419,16
420,32
421,16
422,32
423,32
424,64
425,16
426,32
427,32
428,64
429,32
430,64
431,64
432,128
433,16
434,32
435,32
436,64
437,32
438,64
439,64
440,128
441,32
442,64
443,64
444,128
445,64
446,128
447,128
448,256
449,8
450,16
451,16
452,32
453,16
454,32
455,32
456,64
457,16
458,32
459,32
460,64
461,32
462,64
463,64
464,128
465,16
466,32
467,32
468,64
469,32
470,64
471,64
472,128
473,32
474,64
475,64
476,128
477,64
478,128
479,128
480,256
481,16
482,32
483,32
484,64
485,32
486,64
487,64
488,128
489,32
490,64
491,64
492,128
493,64
494,128
495,128
496,256
497,32
498,64
499,64
500,128
501,64
502,128
503,128
504,256
505,64
506,128
507,128
508,256
509,128
510,256
511,256
512,512
513,2
514,4
515,4
516,8
517,4
518,8
519,8
520,16
521,4
522,8
523,8
524,16
525,8
526,16
527,16
528,32
529,4
530,8
531,8
532,16
533,8
534,16
535,16
536,32
537,8
538,16
539,16
540,32
541,16
542,32
543,32
544,64
545,4
546,8
547,8
548,16
549,8
550,16
551,16
552,32
553,8
554,16
555,16
556,32
557,16
558,32
559,32
560,64
561,8
562,16
563,16
564,32
