m,theoretical_bias_0.14,theoretical_bias_0.07,theoretical_bias_0.04
1,7.0000000000e-02,3.5000000000e-02,2.0000000000e-02
2,9.8000000000e-03,2.4500000000e-03,8.0000000000e-04
3,1.3720000000e-03,1.7150000000e-04,3.2000000000e-05
4,1.9208000000e-04,1.2005000000e-05,1.2800000000e-06
5,2.6891200000e-05,8.4035000000e-07,5.1200000000e-08
6,3.7647680000e-06,5.8824500000e-08,2.0480000000e-09
7,5.2706752000e-07,4.1177150000e-09,8.1920000000e-11
8,7.3789452800e-08,2.8824005000e-10,3.2768000000e-12
9,1.0330523392e-08,2.0176803500e-11,1.3107200000e-13
10,1.4462732749e-09,1.4123762450e-12,5.2428800000e-15
11,2.0247825848e-10,9.8866337150e-14,2.0971520000e-16
12,2.8346956188e-11,6.9206436005e-15,8.3886080000e-18
13,3.9685738663e-12,4.8444505204e-16,3.3554432000e-19
14,5.5560034128e-13,3.3911153642e-17,1.3421772800e-20
15,7.7784047779e-14,2.3737807550e-18,5.3687091200e-22
16,1.0889766689e-14,1.6616465285e-19,2.1474836480e-23
17,1.5245673365e-15,1.1631525699e-20,8.5899345920e-25
18,2.1343942711e-16,8.1420679896e-22,3.4359738368e-26
19,2.9881519795e-17,5.6994475927e-23,1.3743895347e-27
20,4.1834127713e-18,3.9896133149e-24,5.4975581389e-29
21,5.8567778798e-19,2.7927293204e-25,2.1990232556e-30
22,8.1994890317e-20,1.9549105243e-26,8.7960930222e-32
23,1.1479284644e-20,1.3684373670e-27,3.5184372089e-33
24,1.6070998502e-21,9.5790615690e-29,1.4073748836e-34
25,2.2499397903e-22,6.7053430983e-30,5.6294995342e-36
26,3.1499157064e-23,4.6937401688e-31,2.2517998137e-37
27,4.4098819890e-24,3.2856181182e-32,9.0071992547e-39
28,6.1738347846e-25,2.2999326827e-33,3.6028797019e-40
29,8.6433686984e-26,1.6099528779e-34,1.4411518808e-41
30,1.2100716178e-26,1.1269670145e-35,5.7646075230e-43
31,1.6941002649e-27,7.8887691017e-37,2.3058430092e-44
32,2.3717403708e-28,5.5221383712e-38,9.2233720369e-46
33,3.3204365192e-29,3.8654968599e-39,3.6893488147e-47
34,4.6486111268e-30,2.7058478019e-40,1.4757395259e-48
35,6.5080555776e-31,1.8940934613e-41,5.9029581036e-50
36,9.1112778086e-32,1.3258654229e-42,2.3611832414e-51
37,1.2755788932e-32,9.2810579605e-44,9.4447329657e-53
38,1.7858104505e-33,6.4967405724e-45,3.7778931863e-54
39,2.5001346307e-34,4.5477184006e-46,1.5111572745e-55
40,3.5001884830e-35,3.1834028805e-47,6.0446290981e-57
41,4.9002638761e-36,2.2283820163e-48,2.4178516392e-58
42,6.8603694266e-37,1.5598674114e-49,9.6714065569e-60
43,9.6045171972e-38,1.0919071880e-50,3.8685626228e-61
44,1.3446324076e-38,7.6433503160e-52,1.5474250491e-62
45,1.8824853707e-39,5.3503452212e-53,6.1897001964e-64
46,2.6354795189e-40,3.7452416548e-54,2.4758800786e-65
47,3.6896713265e-41,2.6216691584e-55,9.9035203143e-67
48,5.1655398571e-42,1.8351684109e-56,3.9614081257e-68
49,7.2317557999e-43,1.2846178876e-57,1.5845632503e-69
50,1.0124458120e-43,8.9923252132e-59,6.3382530011e-71
